AuthorId,audio_arousal_bin_0,audio_arousal_bin_1,audio_arousal_bin_2,audio_arousal_bin_3,audio_arousal_bin_4,audio_arousal_bin_5,audio_arousal_bin_6,audio_arousal_bin_7,audio_arousal_bin_8,audio_arousal_bin_9,audio_arousal_bin_10,audio_arousal_bin_11,audio_dominance_bin_0,audio_dominance_bin_1,audio_dominance_bin_2,audio_dominance_bin_3,audio_dominance_bin_4,audio_dominance_bin_5,audio_dominance_bin_6,audio_dominance_bin_7,audio_dominance_bin_8,audio_dominance_bin_9,audio_dominance_bin_10,audio_dominance_bin_11,audio_valence_bin_0,audio_valence_bin_1,audio_valence_bin_2,audio_valence_bin_3,audio_valence_bin_4,audio_valence_bin_5,audio_valence_bin_6,audio_valence_bin_7,audio_valence_bin_8,audio_valence_bin_9,audio_valence_bin_10,audio_valence_bin_11,audio_arousal_min,audio_dominance_min,audio_valence_min,audio_arousal_max,audio_dominance_max,audio_valence_max,audio_arousal_mean,audio_dominance_mean,audio_valence_mean,audio_arousal_std,audio_dominance_std,audio_valence_std
6690586375950205958,0.0,0.0,0.02,0.0,0.12,0.04,0.12,0.22,0.16,0.24,0.08,0.0,0.0,0.0,0.0,0.02,0.04,0.12,0.16,0.24,0.26,0.16,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.16,0.24,0.28,0.16,0.02,0.0,0.0,0.19,0.21,0.21,0.95,0.86,0.8,0.677,0.642,0.5722,0.1847032921267213,0.1541533824024709,0.1480938753573805
6690616277033403397,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.44,0.26,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.12,0.26,0.54,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.16,0.52,0.2,0.0,0.0,0.51,0.47,0.45,0.93,0.84,0.88,0.7468,0.6990000000000001,0.7306,0.093665492524173,0.0816725667728479,0.0864116866623764
6690680539882963974,0.0,0.02,0.0,0.06,0.1,0.24,0.18,0.18,0.2,0.0,0.0,0.02,0.0,0.02,0.0,0.1,0.18,0.2,0.2,0.22,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.1,0.22,0.26,0.26,0.1,0.04,0.02,0.0,0.0,-0.0,0.06,0.2,1.0,0.87,0.82,0.5456,0.497,0.474,0.1822328629159148,0.1652240284941531,0.1378552923635979
6690700143752430597,0.0,0.0,0.0,0.0204081632653061,0.1224489795918367,0.2244897959183673,0.2448979591836734,0.2448979591836734,0.0612244897959183,0.0612244897959183,0.0204081632653061,0.0,0.0,0.0,0.0,0.0,0.0612244897959183,0.2653061224489796,0.2653061224489796,0.2857142857142857,0.0612244897959183,0.0612244897959183,0.0,0.0,0.0,0.0,0.0,0.1224489795918367,0.1020408163265306,0.1224489795918367,0.3265306122448979,0.1632653061224489,0.0612244897959183,0.1020408163265306,0.0,0.0,0.26,0.33,0.23,0.94,0.84,0.86,0.5542857142857143,0.5655102040816327,0.536734693877551,0.152629726244049,0.1203304689956267,0.1687871904092799
6690709885686449158,0.0,0.0,0.0,0.0,0.02,0.0,0.16,0.24,0.18,0.28,0.1,0.02,0.0,0.0,0.0,0.0,0.02,0.02,0.3,0.24,0.22,0.16,0.04,0.0,0.0,0.0,0.02,0.04,0.04,0.12,0.28,0.28,0.14,0.08,0.0,0.0,0.39,0.39,0.13,1.03,0.95,0.84,0.7432000000000001,0.6786,0.5906,0.1367022684672117,0.1256982132582899,0.1579383759959716
6690884262294504453,0.0,0.0,0.0,0.0434782608695652,0.1304347826086956,0.2391304347826087,0.1521739130434782,0.1739130434782608,0.1521739130434782,0.0652173913043478,0.0,0.0434782608695652,0.0,0.0,0.0,0.0434782608695652,0.217391304347826,0.1739130434782608,0.2826086956521739,0.0869565217391304,0.1521739130434782,0.0,0.0434782608695652,0.0,0.0,0.0217391304347826,0.0,0.108695652173913,0.1304347826086956,0.2608695652173913,0.1956521739130435,0.1304347826086956,0.108695652173913,0.0217391304347826,0.0,0.0217391304347826,0.2,0.21,0.08,1.04,0.99,1.03,0.5732608695652174,0.5358695652173913,0.5041304347826088,0.1848008459315185,0.1754305951646028,0.1830673960528868
6690989296075555845,0.0,0.0,0.0,0.08,0.06,0.18,0.06,0.1,0.22,0.24,0.06,0.0,0.0,0.0,0.0,0.06,0.06,0.08,0.18,0.2,0.22,0.18,0.02,0.0,0.0,0.0,0.02,0.06,0.06,0.24,0.22,0.1,0.14,0.14,0.02,0.0,0.21,0.28,0.18,0.99,0.93,0.92,0.6487999999999999,0.6388,0.5828,0.2033659614726965,0.174410259949093,0.1808713603077939
6691157560715052033,0.0,0.0,0.0,0.0,0.02,0.02,0.2,0.42,0.22,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.3,0.4,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.3,0.24,0.3,0.04,0.02,0.0,0.38,0.4,0.39,0.87,0.84,0.97,0.6709999999999999,0.638,0.6514,0.1051383927623637,0.0882944979449282,0.1162862407850489
6691417420206769154,0.0,0.0,0.0,0.0,0.0625,0.0208333333333333,0.125,0.1875,0.3333333333333333,0.2083333333333333,0.0625,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0625,0.1458333333333333,0.3333333333333333,0.2916666666666667,0.125,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0416666666666666,0.1666666666666666,0.3125,0.1458333333333333,0.25,0.0208333333333333,0.0208333333333333,0.0,0.33,0.35,0.21,0.95,0.85,0.9,0.7139583333333334,0.664375,0.5885416666666666,0.1424069622869662,0.117326716951589,0.1461999444557529
6691516244669629445,0.0,0.0,0.0,0.0,0.0204081632653061,0.1632653061224489,0.1836734693877551,0.1632653061224489,0.2244897959183673,0.2040816326530612,0.0408163265306122,0.0,0.0,0.0,0.0,0.0,0.0204081632653061,0.2040816326530612,0.2040816326530612,0.2653061224489796,0.2040816326530612,0.1020408163265306,0.0,0.0,0.0,0.0,0.0,0.0408163265306122,0.0612244897959183,0.1428571428571428,0.3061224489795918,0.2653061224489796,0.1020408163265306,0.0204081632653061,0.0204081632653061,0.0408163265306122,0.34,0.38,0.23,0.92,0.88,1.02,0.6716326530612244,0.6206122448979592,0.5959183673469388,0.156142922493778,0.1374076684429904,0.1674056745273158
