"VideoID","video_hasText"
"0Vn1jRu9CPg",TRUE
"0W94CiEnw6o",TRUE
"0WPB5a-r6Uc",TRUE
"0Wlmme7PGoA",TRUE
"0X0Tm1pfhj8",FALSE
"0XPe01xQS0E",FALSE
"0Xc2xN22tOM",FALSE
"0XlAZYypZlQ",TRUE
"0XwwowJfgvE",FALSE
"0Y-M8yqLY2c",TRUE
"0Y-bLlT_UcA",TRUE
"0YQKixwXdfk",TRUE
"0YSIeuwJTVo",TRUE
"0YciQLWkYW4",FALSE
"0YrZrwx13xw",TRUE
"0ZEnn00Dzr0",FALSE
"0ZOxCOw61f8",TRUE
"0ZSPAYjSktA",TRUE
"0Ztgot6T8I0",FALSE
"0_41IGwM7j4",TRUE
"0_7eEdiYMpk",TRUE
"0_C4LCeIHpY",FALSE
"0_FGmVz8Xqg",FALSE
"0_SJokPgEdI",TRUE
"0_TfMw8Ur44",FALSE
"0_TvuQtKnVI",FALSE
"0_UAvbt0Seo",FALSE
"0_V52VdZMC0",FALSE
"0_XBXXYFWos",TRUE
"0__DJyvgi8Q",TRUE
"0_b3uMIEl5k",FALSE
"0_bqf3zC7HY",TRUE
"0_hvIw2pcy8",TRUE
"0_j6maOaWvo",TRUE
"0_oPBH9nR_o",TRUE
"0_uIbGQG1Yo",TRUE
"0a1SZVRzeEY",TRUE
"0aF5tyr1y04",FALSE
"0aFE0LUv9ks",TRUE
"0aFW-iJZzK0",TRUE
"0aNMtUciZ5E",TRUE
"0aO9R7kW144",FALSE
"0aQWven_rbQ",TRUE
"0adQwSoUHlc",FALSE
"0auowbgLzaM",TRUE
"0bBHWyR-_Zo",FALSE
"0bDZBXhlK6g",TRUE
"0bQUoTIJhAk",FALSE
"0blNWUMCleQ",TRUE
"0bwwfXr2p_g",TRUE
"0c-Y-SfFocA",TRUE
"0cDujjnuSCY",TRUE
"0cq6DRgN31I",TRUE
"0cxGIH4540A",FALSE
"0d2F9PqkN_Y",TRUE
"0dDxbHbSBm8",TRUE
"0dJD6okz_x8",TRUE
"0dLfv1VPLa0",FALSE
"0dXI24pG4vc",FALSE
"0dYDf-we8Jw",TRUE
"0dZBxmz9yj4",TRUE
"0dZVwj1VyOQ",TRUE
"0dqYCEsGfLw",TRUE
"0dxG7WOyO7Y",FALSE
"0e1kxNLG854",TRUE
"0eZnKmCVmIw",TRUE
"0egzGjGyJa4",FALSE
"0f0QLBntj-U",TRUE
"0fTsB_9CLFg",TRUE
"0fYQe_QyAUE",TRUE
"0fm4pnzwZR0",TRUE
"0fw4MJcmSwU",TRUE
"0fxKK5ZV0Pg",TRUE
"0g6U25VM5tY",TRUE
"0gKVSeec0Wk",FALSE
"0gkSP0BifJQ",FALSE
"0gnSqq62Pww",TRUE
"0gqWtO0E9cg",FALSE
"0h1SNR8qzvs",FALSE
"0hMy0Uv_pu8",FALSE
"0hPWTMKmQYk",FALSE
"0hSNA60Y1uU",TRUE
"0hVaruORJYY",TRUE
"0hZykF-164Y",FALSE
"0hkovdJDxMk",FALSE
"0hmBJ8N0ixE",FALSE
"0iA3BOVqHUk",TRUE
"0iOA7__pHRY",FALSE
"0iPr6P-XGEo",FALSE
"0iQ93fLnMc0",TRUE
"0iYcc9embWM",TRUE
