AuthorId,audio_neu,audio_hap,audio_sad,audio_ang
@CoxoSparkle,0.0,0.0,1.0,0.0
@CrafterSven,0.0,0.0,0.0,1.0
@Cravata,0.1,0.7,0.2,0.0
@CricketFans4u,0.0,1.0,0.0,0.0
@CrowsEyeProductions,1.0,0.0,0.0,0.0
@CryptoEllis,0.0,0.5,0.0,0.5
@CryptoSauce,0.2222222222222222,0.6111111111111112,0.16666666666666666,0.0
@CryptoShazam1,0.5789473684210527,0.42105263157894735,0.0,0.0
@CuitlaVega06,0.15,0.6,0.25,0.0
@Cultaholic,0.0,0.95,0.0,0.05
@CupcakeSavvysKitchen,0.25,0.25,0.0,0.5
@DADAPOTASHOWOFFICIAL,0.0,1.0,0.0,0.0
@DCGAMERD,1.0,0.0,0.0,0.0
@DENIM_YT,0.0,1.0,0.0,0.0
@DEVKeFacts,0.0,0.42105263157894735,0.0,0.5789473684210527
@DIGAALEMUSIC,0.05,0.9,0.0,0.05
@DJCOS_CR,0.0,1.0,0.0,0.0
@DJLKM,0.5,0.3333333333333333,0.0,0.16666666666666666
@DJZsuZsu,0.5,0.5,0.0,0.0
@DKEXPLOREWORLD,0.5714285714285714,0.07142857142857142,0.07142857142857142,0.2857142857142857
@DLMMensLifestyle,0.25,0.2,0.35,0.2
@DMAVTETHZurich,1.0,0.0,0.0,0.0
@DMTutorialescr,0.0,1.0,0.0,0.0
@DMWHQ,0.6666666666666666,0.3333333333333333,0.0,0.0
@DOCTORMEMOONASADIAALVI,0.8,0.15,0.0,0.05
@DOLCITUTTALAVITA,0.3157894736842105,0.3157894736842105,0.2631578947368421,0.10526315789473684
@DTSoyTico,0.2,0.45,0.15,0.2
@DTWTUTORIALS,0.1,0.6,0.0,0.3
@DaTwo,0.8,0.1,0.1,0.0
@DaanVerhoeven,0.5,0.125,0.125,0.25
@Dafnesiete,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0
@Dairy_Australia,0.6923076923076923,0.07692307692307693,0.0,0.23076923076923078
@DalatopNews,0.0,1.0,0.0,0.0
@DanWinterFractalField,0.5,0.0,0.0,0.5
@DanXiaChunJie,0.6,0.4,0.0,0.0
@DancesationStudio,0.95,0.0,0.0,0.05
@DanielaHaack,0.6666666666666666,0.3333333333333333,0.0,0.0
@DanteZh,0.0,0.9090909090909091,0.0,0.09090909090909091
@Daoudiofficial,0.0,1.0,0.0,0.0
