"VideoID","duration","height","width","heightXwidth"
"1lQ5-Do5c4E",29,1280,720,921600
"1leIU8aqceg",42,1280,720,921600
"1liDL0GCnXc",46,1280,720,921600
"1m7HuA4hNf0",60,1280,720,921600
"1mLwVV36ET0",44,1280,720,921600
"1mVS3TlMLpg",11,1280,720,921600
"1mWg-pGKaNw",47,1280,720,921600
"1mcQvlKAQQc",24,720,406,292320
"1mxUVWU5xYM",60,1280,720,921600
"1n0hOFcO_pg",55,1280,720,921600
"1nvl5lMZJ6I",30,1280,720,921600
"1oAKhiH-8UM",60,1280,720,921600
"1oPAAQQwnCc",59,1280,720,921600
"1oauUWpuMCw",60,1278,720,920160
"1p5TVaaqolk",6,1280,720,921600
"1pAHA4rTNUU",22,1280,720,921600
"1pFNSePIgXM",30,1280,720,921600
"1pRGKXkQR50",30,720,406,292320
"1pdgB-EYqwY",30,720,720,518400
"1plKJJLkyvo",21,1280,720,921600
"1pphcMDCa_I",59,1280,720,921600
"1pqOPo8N49Y",58,1280,720,921600
"1pumpCNuSWg",45,1280,720,921600
"1q1PtzsDl40",19,1280,720,921600
"1qC4mjCIEfA",36,720,408,293760
"1qENfDtjsio",11,1280,720,921600
"1qLUD_VrU-0",51,1280,720,921600
"1qPAp7hIwJE",18,1280,720,921600
"1q_OHsnL5tw",31,1280,720,921600
"1qnLhBuFXhY",59,1280,720,921600
"1rPMHcX0ojc",50,1280,720,921600
"1rZtaFjXbZc",41,1280,720,921600
"1rogWuZBC4I",60,1280,720,921600
"1sFY_eIX9nA",34,1024,576,589824
"1sXXEdyoptI",59,540,360,194400
"1s_75NAYEdo",48,1280,720,921600
"1sl8jUr5ukc",39,1280,720,921600
"1soEfpGdtSU",57,1280,720,921600
"1sqXT2yGfig",59,1280,720,921600
"1stQB7NHp-8",57,1280,720,921600
"1t0qWG63iQw",21,1280,720,921600
"1t9jP0ABcVU",21,1280,720,921600
"1tGUzWTSEx0",24,360,198,71280
"1tH7sreKfXY",38,1280,720,921600
"1tJPOtbuPfg",51,1280,720,921600
"1tLZd5qdLek",10,1280,720,921600
"1tf0rIm1zFo",60,1280,720,921600
"1tqshmF_qcI",44,1280,720,921600
"1ttNRDhy0Z8",47,1272,720,915840
"1uAA7ukf3jY",49,1280,720,921600
"1uF1FdjNNPE",15,1280,720,921600
"1uSexaW4ZWY",54,1280,720,921600
"1ujHVNb43fQ",60,1280,720,921600
"1upDc3h2ESY",15,720,406,292320
"1upZgcZczlI",27,1280,720,921600
"1uw9XtCsR50",35,1280,720,921600
"1vCnp7wvn5Y",59,1280,720,921600
"1vKIh5X0VYI",60,1280,720,921600
"1vNZ3nL5dmg",15,1280,720,921600
"1vScDfueYbA",37,1280,720,921600
"1vVpN2z1rY8",52,1280,720,921600
"1vdSHIYkfPI",20,1280,720,921600
"1vp04bZbOnE",59,1280,720,921600
"1vy6kqrJp34",34,720,720,518400
"1vyLStf63j4",18,1280,720,921600
"1w0I5IYqMkg",15,1280,720,921600
"1w4LO2EOPvI",30,1280,720,921600
"1w5u63nnUOo",52,1280,720,921600
"1wGXDYhHgj8",36,1280,720,921600
"1wU6W68MXtA",53,1280,720,921600
"1wVF__ETFs8",59,1280,720,921600
"1wVf_3kgSIY",38,720,442,318240
"1w_OrjrvWPw",15,720,406,292320
"1wpuyNN_2mk",29,720,406,292320
"1wriSz3eYFE",5,1280,720,921600
"1wutyPkI3h0",12,720,720,518400
"1xE-S1LfU10",57,1280,720,921600
"1xIlXT8ZQpM",25,1280,720,921600
"1xLXgd-_tdU",59,720,720,518400
"1xLfLwU_oSI",29,720,406,292320
"1xMFphDJQqw",7,1280,720,921600
"1xN0IxyMlXs",12,1280,720,921600
"1xOhDifhyf8",17,1280,720,921600
"1xeWDB4xH7E",19,1280,720,921600
"1xlOSCaNLA4",57,1280,720,921600
"1xqr3Oug59o",30,1280,720,921600
"1xtXXJKjgGc",47,720,406,292320
"1y1euXOZ-aE",15,1280,720,921600
"1yKG-QrHOcA",16,1280,720,921600
"1yd0b78lT8s",10,1280,720,921600
"1yvyUpmulx4",60,1280,720,921600
"1zMSAEeWGY8",58,1280,720,921600
"1zSwbqhBHb8",12,1280,720,921600
"1zfnnsP1CSc",58,1280,720,921600
"1zrw9L2IWW0",17,1280,720,921600
"2-5L31AfStg",48,1280,720,921600
"2-UIL0uHZd0",37,1280,720,921600
"2-WEIcs2Kqc",40,720,406,292320
"2-gyuW5EUCE",46,1280,720,921600
"2-nvJLX4N98",60,1280,720,921600
"2-tfRghnB0g",49,1280,720,921600
"2-upCv60ck0",27,1280,720,921600
"2-uscJcg1bs",17,360,198,71280
"20-QVYcwO_M",10,1280,720,921600
"204ElqzjJcM",5,1280,720,921600
"20A8SkdYu-c",56,640,360,230400
"20AXrmHWxtU",24,1280,720,921600
"20EpGsF9jaY",59,1280,720,921600
"20UQOBuT8Ic",51,720,664,478080
"20bcnYVgoMk",11,720,720,518400
